,Ticker,YTD Performance
192,FFIV,8.615806145441484
193,FDS,13.321874519095791
194,FICO,53.0269437811485
195,FAST,20.49134574068767
196,FRT,-8.34082697363199
197,FDX,46.44606574990704
198,FITB,-20.386587520474606
199,FSLR,3.809783106469417
200,FE,-13.015878422447297
201,FIS,-20.35825117560193
202,FI,12.192475129839542
203,FLT,39.87662362542626
204,FMC,-48.78451867775167
205,F,14.113236082687806
206,FTNT,21.537511674255047
207,FTV,20.421693754906432
208,FOXA,4.596248668044393
209,FOX,3.3208112668364382
210,BEN,-9.487121959321154
211,FCX,-0.9806108614721933
212,GRMN,18.717550213840482
213,IT,6.9128026800563385
214,GEHC,21.125945591312586
215,GEN,-16.35041694641721
216,GNRC,10.30600735766916
217,GD,-2.0981134199684126
218,GE,71.1373465391734
