Ticker,Score
BRSP,73.34472094615312
BRT,79.30665140821594
BRW,79.3434394841278
BRX,73.52348324438996
BSL,83.9014130316117
BSM,86.5111746266693
BST,87.36547641993604
BSX,82.91464022606841
BTA,75.19345671403678
BTO,81.6119798563962
BTT,76.45510261090348
BTU,89.71627163106882
BTZ,77.15406045555427
BUI,77.88356790992617
BURL,67.90079583887707
BV,78.03127090331861
BVH,77.0804541470566
BW,58.9739327251493
BW-PA,79.94863833139087
BWA,83.0256066257628
BWG,74.56174823977682
BWNB,74.01614146871852
BWSN,70.65975299606512
BWXT,86.1855776150685
BX,81.51712746680063
BXC,77.03780561890738
BXMT,77.45341958736894
BXMX,82.64923337372956
BXP,67.37924518202647
BY,79.23456213228933
BYD,74.12979304225935
BYM,74.66057795216508
BZH,72.95997677871415
C,80.83297848835448
C-PJ,85.99577825795349
C-PK,89.14589517036728
C-PN,83.42818805564222
CABO,82.04734656177982
CACI,82.75063869108722
CADE,81.35860069811622
CADE-PA,74.93951753272226
CAF,80.43876368835828
CAG,71.86862143207361
CAH,88.34892827711343
CAL,82.27089288758751
CALX,80.75691354116572
CANO,50.83666580940783
CAPL,87.85218910559188
CARR,83.54015887734528
CARS,79.49590184443541
CAT,80.14011675255944
CATO,81.45355970828165
CBH,83.2126560699889
CBL,84.00695661852986
CBRE,74.5369374939412
CBT,83.81711115218376
CBU,79.12335842091206
CBZ,87.19678150286396
CC,66.29833375684602
CCI,77.85779019034271
CCK,74.07818668185013
CCL,72.95769664932116
CCO,64.94944065475356
CCRD,83.57032543176705
CCS,72.22254319245692
CCZ,76.21247245984277
CDAY,88.30869672741015
CDE,80.83691648205667
CDR-PB,73.5346156340244
CDR-PC,71.53284423486774
CDRE,95.35776450158221
CE,80.49457842258442
CEE,77.25340755665628
CEIX,95.04707530582948
CEM,77.76611768327538
CEN,82.99078836954736
CEQP,87.67876306066047
CEQP-P,84.894738395617
CF,82.91364059908854
CFG,80.01378715209655
CFG-PD,82.89743128585542
CFG-PE,79.16978758057668
CFR,80.1391607435094
CFR-PB,75.09792918480053
CHCT,72.59930040988881
CHD,70.56022578480484
CHE,87.08839794563795
CHGG,70.58450904921364
CHH,78.94709748461644
CHN,79.46242553925092
CHPT,61.136130496513545
CHS,118.7378179941917
CHWY,71.57694902479389
CI,86.58372052814255
CIA,81.90139773431076
CIEN,80.62699205186068
CIF,77.41535033043914
CII,81.94138866379689
CIM,72.55809424305474
CIM-PA,79.51751990436306
CIM-PB,86.37739607125582
CIM-PC,76.12433088788941
CIM-PD,82.30236069735369
CION,77.72106012005908
CIR,74.24254948219235
CIVI,70.43716721031566
CL,75.4840391031173
CLDT,85.59071602525913
CLDT-PA,82.50443299871553
CLF,89.6086666574045
CLH,79.6142966726358
CLPR,68.1947980734121
CLW,89.54959366312383
CLX,68.73067930610604
CMA,74.42336257181123
CMC,74.08724079359156
CMG,79.39866851794731
CMI,81.68922815967564
CMP,76.6223539946586
CMS,79.27304029920768
CMS-PB,80.44883965946934
CMS-PC,77.9376573730472
CMSA,75.73661654953855
CMSC,72.7693735323288
CMSD,74.5991810479064
CMTG,84.88261193731287
CMU,74.06246556702985
CNA,83.59350489185104
CNC,91.20588018510291
CNK,101.2614193461224
CNM,88.58974872692441
CNMD,75.95242638126184
CNNE,79.54134050338972
CNO,84.75120759381545
CNO-PA,
CNP,79.42519915494304
CNS,78.51837169828657
CNX,86.85353814430701
CODI,75.48993665394629
CODI-PA,74.19630911257106
CODI-PB,85.06990617752855
CODI-PC,86.75753593392221
COF,75.17259331583746
COF-PI,74.21743444965037
COF-PJ,74.93041760412923
COF-PK,75.5417142533633
COF-PL,72.8594343067277
COF-PN,74.35459790910826
COHR,76.65650284260825
COLD,74.11243248407685
COMP,63.67597012811642
COO,72.76783295993233
COOK,62.72613417620056
COP,80.04298160121265
COR,87.2681232836884
CORR,69.31166991916176
CORR-PA,63.45332964958478
COTY,76.82985289771933
COUR,88.4854391650114
CPB,75.00423606893537
CPE,72.38475624255798
CPF,83.92767219411662
CPK,68.5404369155479
CPS,74.37591425220728
CPT,77.73714005726723
CR,88.52686227361373
CRBG,92.2730503931478
CRC,80.60948574416805
CRD-A,76.93491025753947
CRD-B,75.45288228744376
CRGY,74.05827401659403
CRI,77.7569024334084
CRK,86.83222043385338
CRL,79.64656357887928
CRM,83.03839270439094
CRS,88.87296105150402
CRT,74.65238223957085
CSL,84.63497968471857
CSR,77.00706938728385
CSR-PC,79.54369300680126
CSV,69.19214316864692
CTA-PA,75.14621240475522
CTA-PB,74.52109419054267
CTBB,86.3576430385628
CTDD,83.2934314273493
CTLT,77.63698517564929
CTO,79.51012355025614
CTO-PA,83.16744186179127
CTR,78.08730663150898
CTRA,83.07982315731493
CTRE,88.72071680497822
CTS,84.3083411688892
CTVA,80.49968682238529
CUBB,77.53831783709049
CUBE,75.32828934522816
CUBI,82.95725060073383
CUBI-PE,84.65297429478635
CUBI-PF,84.97305663748224
CUK,71.96238188905333
CULP,83.21173511740719
CURO,72.70324056972396
CUZ,68.21997397631903
CVI,72.8513368416119
CVNA,71.69163159466665
CVS,84.65933588774527
CVX,81.29302295588289
CW,79.69589684066935
CWAN,94.76456718781739
CWEN,73.9173012791209
CWH,65.52504302223038
CWT,83.70721162583708
CXE,72.43547622883317
CXH,75.76001694749593
CXM,83.3342734436888
CXT,79.63991992141791
CXW,93.21225748656424
CYH,74.71761498502076
D,70.84530939517998
DAL,77.29098280050543
DAN,72.86603410601965
DAR,63.59574542707312
DASH,77.16141663417342
DBD,
DBI,86.43884077317594
DBL,85.9749289694068
DBRG,78.60451636422279
DBRG-PH,83.35598722030835
DBRG-PI,83.24323842071425
DBRG-PJ,82.36706973353476
DCI,82.15373110090519
DCO,84.53036379361362
DCP-PC,80.28198495106201
DD,87.46115130428115
DDD,65.87717037299676
DDS,76.32887531395968
DDT,85.63602293983853
DE,78.5890869143308
DEA,71.38733595922115
DECK,77.2448838485337
DEI,74.91895662264743
DELL,85.53713417437982
DFH,73.31285970409762
DFIN,94.19981867303855
DFS,83.19080606610488
DG,66.8528049549901
DGX,81.72140895425171
DHF,82.86319837302715
