,Symbol,api_industry
420,CVS,retail_wholesale
421,CVX,energy_transportation
422,CW,manufacturing
423,CWAN,technology
424,CWEN,energy_transportation
425,CWH,retail_wholesale
426,CWT,energy_transportation
427,CXE,finance
428,CXH,finance
429,CXM,technology
430,CXT,manufacturing
431,CXW,real_estate
432,CYH,life_sciences
433,D,energy_transportation
434,DAL,energy_transportation
435,DAN,manufacturing
436,DAR,manufacturing
437,DASH,manufacturing
438,DBD,retail_wholesale
439,DBI,retail_wholesale
440,DBRG,real_estate
441,DCI,energy_transportation
442,DCO,manufacturing
443,DD,life_sciences
444,DDD,technology
445,DDS,real_estate
446,DDT,real_estate
447,DE,manufacturing
448,DEA,real_estate
449,DECK,manufacturing
450,DEI,real_estate
451,DELL,manufacturing
452,DFH,real_estate
453,DFIN,retail_wholesale
454,DFS,finance
455,DG,real_estate
456,DGX,life_sciences
457,DHF,finance
458,DHI,real_estate
459,DHR,manufacturing
460,DHX,technology
461,DIN,retail_wholesale
462,DINO,energy_transportation
463,DIS,retail_wholesale
464,DK,energy_transportation
465,DKL,energy_transportation
466,DKS,retail_wholesale
467,DLB,economy_macro
468,DLR,real_estate
469,DLX,financial_markets
470,DM,technology
471,DMO,retail_wholesale
472,DMS,technology
473,DNA,life_sciences
474,DNB,finance
475,DNMR,life_sciences
476,DNOW,manufacturing
477,DNP,finance
478,DO,energy_transportation
479,DOC,real_estate
480,DOCN,retail_wholesale
481,DOCS,retail_wholesale
482,DOUG,real_estate
483,DOV,manufacturing
484,DOW,life_sciences
485,DPG,retail_wholesale
486,DPZ,retail_wholesale
487,DRH,real_estate
488,DRI,retail_wholesale
489,DRQ,manufacturing
490,DSM,finance
491,DSU,finance
492,DT,technology
493,DTB,energy_transportation
494,DTE,energy_transportation
495,DTF,finance
496,DTG,energy_transportation
497,DTM,energy_transportation
498,DTW,energy_transportation
499,DUK,energy_transportation
500,DUKB,energy_transportation
501,DV,technology
502,DVA,life_sciences
503,DVN,energy_transportation
504,DX,real_estate
505,DXC,technology
506,DY,real_estate
507,EAF,manufacturing
508,EAI,energy_transportation
509,EARN,real_estate
510,EAT,retail_wholesale
511,EB,technology
512,EBF,retail_wholesale
513,EBS,life_sciences
514,ECC           ,retail_wholesale
515,ECCC,retail_wholesale
516,ECCV,retail_wholesale
517,ECCW,retail_wholesale
518,ECCX,retail_wholesale
519,ECL,manufacturing
520,ECVT,life_sciences
521,ED,energy_transportation
522,EDD,finance
523,EDF,finance
524,EDI,finance
525,EDR,retail_wholesale
526,EE,energy_transportation
527,EEA,retail_wholesale
528,EEX,technology
529,EFC,real_estate
530,EFR,retail_wholesale
531,EFT,finance
532,EFX,finance
533,EGF,retail_wholesale
